source.file,sample.id,sample.weight,n.prop,n15,c.prop,c13,indiv.id,pack,sex,sample.date,sample.dateN,birth.date,indiv.age,age.accurate,
cs031816_rlc.xlsx,WSK914_24M001,1.5467,16.42222968,9.430738283,43.25652329,-18.4986463,24M001,24,M,28/04/2015,42122,42096,26,0,
cs031816_rlc.xlsx,WSK915_24M002,1.746,16.23818273,9.723055428,42.93324091,-19.11300625,24M002,24,M,28/04/2015,42122,42096,26,0,
cs031816_rlc.xlsx,WSK1052_24M002,1.3322,16.57391043,10.48343764,44.23050489,-18.85389195,24M002,24,M,27/08/2015,42243,42096,147,0,
cs031816_rlc.xlsx,WSK1047_24M003,0.9092,16.783862,10.64290536,45.26901675,-18.37560103,24M003,24,M,27/08/2015,42243,42096,147,0,
cs031816_rlc.xlsx,WSK1108_24M004,1.5618,14.75716344,10.61682961,39.40360124,-18.36265085,24M004,24,M,27/08/2015,42243,42096,147,0,
cs031816_rlc.xlsx,WSK1053_24M005,0.9261,16.71642698,10.77105014,44.94609635,-19.01809594,24M005,24,M,27/08/2015,42243,42096,147,0,
hm022615qc,WSK019/BF473,0.597,17.69314474,10.30477562,46.68756747,-17.128242,BF473,1B,F,19/09/2013,41536,40200,1336,1,
hm022415qc,WSK138/BF473,0.33,17.1274305,10.99774335,46.99412271,-17.6705129,BF473,1B,F,15/11/2013,41593,40200,1393,1,
cs021216rlc.xlsx,WSK331_BF473,0.8244,16.62868434,9.865476205,44.5736995,-17.16870243,BF473,1B,F,03/07/2014,41823,40200,1623,1,
hm022615qc,WSK021/BF484,0.325,17.96430253,9.790210986,46.19806347,-16.72782928,BF484,1B,F,19/09/2013,41536,40305,1231,1,
hm022415qc,WSK145/BF484,0.766,18.21209912,10.25997637,47.76556256,-17.27828618,BF484,1B,F,15/11/2013,41593,40305,1288,1,
cs021216rlc.xlsx,WSK332_BF484,1.2948,16.26568519,9.637310692,42.40805989,-16.20535067,BF484,1B,F,03/07/2014,41823,40305,1518,1,
cs021216rlc.xlsx,WSK411_BF484,1.1563,17.04684347,9.277433263,43.97629459,-16.24866712,BF484,1B,F,03/09/2014,41885,40305,1580,1,
CS031716_rlc.xlsx,WSK840_BF484,1.1685,17.42508163,9.420255353,44.54296401,-16.09727309,BF484,1B,F,16/01/2015,42020,40305,1715,1,
hm022615qc,WSK018/BF473,0.387,17.518083,10.03819785,45.38332359,-17.4754409,BF487,1B,F,19/09/2013,41536,40200,1336,1,
hm022615qc,WSK020/BF535,0.788,16.57588011,10.21150724,43.73905382,-17.31702328,BF535,1B,F,19/09/2013,41536,40726,810,1,
cs031816_rlc.xlsx,WSK142_BF535,0.1513,17.0171081,10.90121432,48.30401534,-17.98260274,BF535,1B,F,15/11/2013,41593,40726,867,1,
HM031015qc,WSK142/BF536,0.628,17.14411742,10.90373513,46.14022914,-17.36472193,BF535,1B,F,15/11/2013,41593,40726,867,1,
cs021216rlc.xlsx,WSK334_BF535,0.603,16.58939642,9.866102687,45.18745466,-17.35838841,BF535,1B,F,03/07/2014,41823,40726,1097,1,
cs021216rlc.xlsx,WSK406_BF535,1.1659,16.23659585,9.526327928,42.32676095,-16.43767057,BF535,1B,F,03/09/2014,41885,40726,1159,1,
CS031716_rlc.xlsx,WSK837_BF535,0.5916,16.84594861,9.243735752,46.22934789,-16.28147424,BF535,1B,F,16/01/2015,42020,40726,1294,1,
CS030416_rlc.xlsx,WSK1027_BF535,0.38,16.27673712,10.10215238,45.00537899,-16.62117784,BF535,1B,F,03/07/2015,42188,40726,1462,1,
hm022615qc,WSK022/BF561,0.631,16.71570498,10.35641941,45.47692885,-17.48169128,BF561,1B,F,19/09/2013,41536,41019,517,1,
hm022415qc,WSK136/BF561,0.779,17.50340656,10.25857805,48.60887371,-17.21751819,BF561,1B,F,15/11/2013,41593,41019,574,1,
cs021216rlc.xlsx,WSK339_BF561,0.9495,16.72782648,10.10062256,44.35018746,-16.8784678,BF561,1B,F,03/07/2014,41823,41019,804,1,
cs021216rlc.xlsx,WSK410_BF561,0.9467,17.0941352,9.87769336,44.41179501,-16.50657109,BF561,1B,F,03/09/2014,41885,41019,866,1,
CS021116rlc.xlsx,WSK843_BF561,0.6242,11.53369583,10.01219277,32.12973588,-16.67898444,BF561,1B,F,16/01/2015,42020,41019,1001,1,
hm022415qc,WSK144/BF566,0.789,19.68222918,10.68056608,53.14152964,-16.85267698,BF566,1B,F,15/11/2013,41593,41019,574,1,
cs021216rlc.xlsx,WSK336_BF566,0.572,16.98949098,9.775219677,46.34935319,-17.18312935,BF566,1B,F,03/07/2014,41823,41019,804,1,
cs021216rlc.xlsx,WSK415_BF566,1.0915,17.06861912,9.524606647,43.93107339,-16.64129937,BF566,1B,F,03/09/2014,41885,41019,866,1,
hm022415qc,WSK135/BF589,0.655,17.02830195,11.49467573,45.85260255,-17.40716578,BF589,1B,F,15/11/2013,41593,41087,506,1,
cs021216rlc.xlsx,WSK338_BF589,1.2085,17.09893187,10.35835613,44.3237971,-17.61353628,BF589,1B,F,03/07/2014,41823,41087,736,1,
cs021216rlc.xlsx,WSK407_BF589,1.5715,16.83568214,10.20811576,43.38094307,-16.90494217,BF589,1B,F,03/09/2014,41885,41087,798,1,
hm022415qc,WSK141/BF593,0.695,17.33870969,11.117518,47.11927365,-17.54816326,BF593,1B,F,15/11/2013,41593,41169,424,1,
cs021216rlc.xlsx,WSK335_BF593,1.2009,17.08115453,10.14581169,44.59013675,-17.11322895,BF593,1B,F,03/07/2014,41823,41169,654,1,
cs021216rlc.xlsx,WSK409_BF593,1.098,16.69149747,9.619421313,43.68564874,-16.51302551,BF593,1B,F,03/09/2014,41885,41169,716,1,
cs021216rlc.xlsx,WSK844_BF593,1.4765,16.82732405,9.902321026,43.68402058,-16.83982394,BF593,1B,F,16/01/2015,42020,41169,851,1,
hm031115qcr,WSK294/BF622,0.734,16.58925047,10.69565972,45.1441185,-17.00261085,BF622,1B,F,29/05/2014,41788,41458,330,1,
cs021216rlc.xlsx,WSK340_BF622,0.7864,16.97072153,10.45873627,45.76923952,-17.59365051,BF622,1B,F,03/07/2014,41823,41458,365,1,
cs021216rlc.xlsx,WSK414_BF622,1.2768,16.84247845,9.871633388,43.36186472,-17.00826736,BF622,1B,F,03/09/2014,41885,41458,427,1,
cs021216rlc.xlsx,WSK333_BF627,0.8118,16.99115169,10.52483264,45.64496589,-17.89492296,BF627,1B,F,03/07/2014,41823,41458,365,1,
